title,author,release_date,last_updated,language,ebook,character_set_encoding,chapter_count,section_count,lines_count,number_of_words,publish_year
Autobiography,John Stuart Mill,"December 4, 2003","December 4, 2003",English,10378,ISO Latin-1,14,4,7085,78446,2003
At Love's Cost,Charles Garvice,"December 4, 2003","December 4, 2003",English,10379,ASCII,43,4,17393,151874,2003
Bible Stories and Religious Classics,Philip P. Wells,"December 4, 2003","December 4, 2003",English,10380,ASCII,0,4,15770,168873,2003
The History of a Crime,Victor Hugo,"December 4, 2003","December 4, 2003",English,10381,ASCII,89,4,18826,151895,2003
Memoir of William Watts McNair,J. E. Howard,"December 4, 2003","December 4, 2003",English,10382,ISO-8859-1,0,4,2257,23103,2003
"The Maternal Management of Children, in Health and Disease.","Thomas Bull, M.D.","December 4, 2003","December 4, 2003",English,10383,ASCII,0,4,7579,60170,2003
Thoughts On The Necessity Of Improving The Condition Of The Slaves,Thomas Clarkson,"December 5, 2003","December 5, 2003",English,10386,ASCII,0,4,3199,34717,2003
"The Real America in Romance, Volume 6; A Century Too Soon (A Story",John R. Musick,"December 5, 2003","December 5, 2003",English,10387,ASCII,46,4,10736,86442,2003
"Old English Plays, Vol. I",Various,"December 5, 2003","December 5, 2003",English,10388,ASCII,0,4,13926,80252,2003
"Northern Trails, Book I.",William J. Long,"December 5, 2003","December 5, 2003",English,10389,ASCII,0,4,3274,33208,2003
The Edinburgh Lectures on Mental Science,Thomas Troward,"December 5, 2003","December 5, 2003",English,10390,ASCII,0,4,3156,33340,2003
The Wolf's Long Howl,Stanley Waterloo,"December 5, 2003","December 5, 2003",English,10391,ASCII,0,4,6820,69840,2003
The Reminiscences Of Sir Henry Hawkins (Baron Brampton),Henry Hawkins Brampton,"December 6, 2003","December 6, 2003",English,10392,ASCII,52,4,13234,110690,2003
Making the House a Home,Edgar A. Guest,"December 7, 2003","December 7, 2003",English,10393,ASCII,0,4,1101,9804,2003
Stolen Treasure,Howard Pyle,"December 7, 2003","December 7, 2003",English,10394,ASCII,0,4,5383,51993,2003
Joy & Power,Henry van Dyke,"December 7, 2003","December 7, 2003",English,10395,ASCII,0,4,1636,15140,2003
Andy the Acrobat,Peter T. Harkness,"December 7, 2003","December 7, 2003",English,10396,ASCII,32,4,7336,49592,2003
Affairs of State,Burton E. Stevenson,"December 7, 2003","December 7, 2003",English,10397,ASCII,22,4,6922,50210,2003
The American Child,Elizabeth McCracken,"December 7, 2003","December 7, 2003",English,10398,ASCII,0,4,4499,39393,2003
Personal Memoir Of Daniel Drayton,Daniel Drayton,"December 8, 2003","December 8, 2003",English,10401,ASCII,0,4,3720,37282,2003
A Man and His Money,Frederic Stewart Isham,"December 8, 2003","December 8, 2003",English,10402,ASCII,25,4,7592,62145,2003
Twixt France and Spain,E. Ernest Bilbrough,"December 8, 2003","December 8, 2003",English,10403,US-ASCII,28,4,10009,77023,2003
Man Size,William MacLeod Raine,"December 8, 2003","December 8, 2003",English,10404,US-ASCII,42,4,10231,79356,2003
The Crisis of the Naval War,John Rushworth Jellicoe,"December 8, 2003","December 8, 2003",English,10409,ASCII,13,4,9496,82823,2003
"Love, Life & Work",Elbert Hubbard,"December 8, 2003","December 8, 2003",English,10417,ASCII,1,4,3519,31040,2003
The Money Moon,Jeffery Farnol,"December 8, 2003","December 8, 2003",English,10418,ASCII,33,4,8628,61893,2003
The Forest Monster of Oz,Bob Evans,"December 8, 2003","December 8, 2003",English,10419,US-ASCII,15,4,4721,39738,2003
The Principles of Success in Literature,George Henry Lewes,"December 9, 2003","December 9, 2003",English,10420,US-ASCII,4,4,4464,45525,2003
The Life of Lord Byron,John Galt,"December 9, 2003","December 9, 2003",English,10421,US-ASCII,49,4,10936,97150,2003
Caesar Dies,Talbot Mundy,"December 9, 2003","December 9, 2003",English,10422,ASCII,0,4,5963,51148,2003
Scientific Essays and Lectures,Charles Kingsley,"December 9, 2003","December 9, 2003",English,10427,US-ASCII,0,4,5207,51961,2003
Miss Lulu Bett,Zona Gale,"December 10, 2003","December 10, 2003",English,10429,US-ASCII,1,4,5966,40297,2003
Trips to the Moon,Lucian,"December 10, 2003","December 10, 2003",English,10430,US-ASCII,0,4,4245,39984,2003
Thirty Years a Slave,Louis Hughes,"December 10, 2003","December 10, 2003",English,10431,US-ASCII,5,4,4570,49142,2003
Aunt Jane's Nieces Out West ,Edith Van Dyne,"December 10, 2003","December 10, 2003",English,10432,US-ASCII,27,4,7260,54834,2003
A Flock of Girls and Boys,Nora Perry,"December 10, 2003","December 10, 2003",English,10433,US-ASCII,31,4,7804,63673,2003
Wyandotte,James Fenimore Cooper,"December 11, 2003","December 11, 2003",English,10434,US-ASCII,0,4,17942,166619,2003
"The Atlantic Monthly, Volume 2, Issue 12, October, 1858",Various,"December 11, 2003","July 2, 2005",English,10435,US-ASCII,1,4,8986,86174,2003
Erick and Sally,Johanna Spyri,"December 11, 2003","December 11, 2003",English,10436,US-ASCII,10,4,4256,39979,2003
Pulpit and Press (6th Edition),Mary Baker Eddy,"December 11, 2003","January 8, 2005",English,10437,US-ASCII,0,4,3117,24468,2003
Up the Hill and Over,Isabel Ecclestone Mackay,"December 12, 2003","December 12, 2003",English,10438,US-ASCII,37,4,12045,99834,2003
From Yauco to Las Marias,Karl Stephen Herrman,"December 12, 2003","December 12, 2003",English,10439,US-ASCII,20,4,2373,19697,2003
Tutt and Mr. Tutt,Arthur Train,"December 12, 2003","December 12, 2003",English,10440,US-ASCII,0,4,8344,66946,2003
The Green Mouse,Robert W. Chambers,"December 12, 2003","December 12, 2003",English,10441,US-ASCII,1,4,7611,50891,2003
The Rayner-Slade Amalgamation,J. S. Fletcher,"December 12, 2003","May 1, 2005",English,10443,US-ASCII,35,4,9360,81019,2003
The Peace Negotiations,Robert Lansing,"December 13, 2003","December 13, 2003",English,10444,US-ASCII,19,4,9700,85926,2003
American Big Game in Its Haunts,Various,"December 13, 2003","December 13, 2003",English,10445,US-ASCII,0,4,11433,111002,2003
The Green Flag,Arthur Conan Doyle,"December 13, 2003","December 13, 2003",English,10446,US-ASCII,0,4,8707,78588,2003
October Vagabonds ,Richard Le Gallienne,"December 13, 2003","December 13, 2003",English,10447,US-ASCII,24,4,3285,28213,2003
The Anti-Slavery Harp,Various,"December 13, 2003","December 13, 2003",English,10448,US-ASCII,0,4,2556,13278,2003
Burnham Breaker,Homer Greene,"December 13, 2003","December 13, 2003",English,10449,US-ASCII,25,4,13064,107000,2003
"Punch, or the London Charivari, Vol. 153, Aug. 22, 1917",Various,"December 13, 2003","December 13, 2003",English,10450,US-ASCII,0,4,2325,16358,2003
"Life Of Johnson, Volume 5",Boswell,"December 14, 2003","December 14, 2003",English,10451,ASCII,0,4,21755,201969,2003
Peter's Mother,Mrs. Henry De La Pasture,"December 14, 2003","December 14, 2003",English,10452,ASCII,21,4,10296,81177,2003
A Practical Physiology,Albert F. Blaisdell,"December 14, 2003","December 14, 2003",English,10453,ASCII,0,4,16967,144396,2003
Tales for Young and Old,Various,"December 14, 2003","December 14, 2003",English,10454,ASCII,0,4,6826,67208,2003
A Golden Book of Venice,Mrs. Lawrence Turnbull,"December 14, 2003","December 14, 2003",English,10455,ASCII,0,4,11529,104850,2003
"Atlantic Monthly, Volume 2, Issue 11, September, 1858",Various,"December 14, 2003","June 15, 2005",English,10456,US-ASCII,7,4,9231,87620,2003
The Lonely Dancer and Other Poems,Richard Le Gallienne,"December 14, 2003","December 14, 2003",English,10457,US-ASCII,0,4,2830,14718,2003
Three short works,Gustave Flaubert,"December 14, 2003","December 14, 2003",English,10458,ASCII,8,4,3421,28120,2003
The Celtic Twilight,W. B. Yeats,"December 14, 2003","December 14, 2003",English,10459,ASCII,0,4,4113,42857,2003
When Day is Done,Edgar A. Guest,"December 14, 2003","December 14, 2003",English,10460,ASCII,0,4,4832,29946,2003
Journals of Australian Explorations,A C and F T Gregory,"December 15, 2003","December 15, 2003",English,10461,ASCII,0,4,15380,139572,2003
The Little House in the Fairy Wood,Ethel Cook Eliot,"December 15, 2003","December 15, 2003",English,10463,ASCII,19,4,4201,37742,2003
A Child's Anti-Slavery Book,Various,"December 15, 2003","December 15, 2003",English,10464,ASCII,9,4,2964,26519,2003
The Outdoor Girls of Deepdale ,Laura Lee Hope,"December 15, 2003","December 15, 2003",English,10465,US-ASCII,26,4,6162,43199,2003
Little Saint Elizabeth and Other Stories ,Frances Hodgson Burnett,"December 15, 2003","December 15, 2003",English,10466,US-ASCII,0,4,3605,30483,2003
"A Select Collection of Old English Plays, Vol. VIII (4th edition)",Various,"December 15, 2003","December 15, 2003",English,10467,US-ASCII,0,4,19036,118868,2003
Aunt Jane's Nieces in Society,Edith Van Dyne,"December 15, 2003","December 15, 2003",English,10468,US-ASCII,26,4,5911,45902,2003
Johnny Crow's Garden,L. Leslie Brooke,"December 15, 2003","December 15, 2003",English,10469,US-ASCII,0,4,600,3592,2003
Audio: Nine Hundred Miles,Roger McGuinn,"December 15, 2003","December 15, 2003",English,10470,US-ASCII,0,4,483,3546,2003
"The World's Greatest Books, Vol. I",Various,"December 15, 2003","December 15, 2003",English,10471,US-ASCII,0,4,12618,115211,2003
Arthurian Chronicles: Roman de Brut,Wace,"December 16, 2003","December 16, 2003",English,10472,ISO Latin-1,0,4,5566,62773,2003
The Heart of the Range,William Patterson White,"December 16, 2003","December 16, 2003",English,10473,ASCII,33,4,12823,91788,2003
The Lost Naval Papers,Bennet Copplestone,"December 16, 2003","December 16, 2003",English,10474,ISO Latin-1,18,4,8291,80971,2003
"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",Various,"December 16, 2003","December 16, 2003",English,10475,US-ASCII,0,4,1962,15849,2003
The Vanishing Man,R. Austin Freeman,"December 16, 2003","December 16, 2003",English,10476,US-ASCII,21,4,11495,97936,2003
"Beacon Lights of History, Volume I",John Lord,"December 16, 2003","December 16, 2003",English,10477,US-ASCII,0,4,8149,80780,2003
"Beacon Lights of History, Volume II",John Lord,"December 16, 2003","December 16, 2003",English,10478,US-ASCII,0,4,9663,98601,2003
Our Churches and Chapels,Atticus,"December 16, 2003","December 16, 2003",English,10479,US-ASCII,0,4,10693,110838,2003
The Young Mother,William A. Alcott,"December 17, 2003","December 17, 2003",English,10482,ASCII,40,4,8028,75526,2003
Short Stories Old and New,Selected and Edited by C. Alphonso Smith,"December 17, 2003","December 17, 2003",English,10483,ASCII,10,4,10583,97668,2003
"Beacon Lights of History, Volume III",John Lord,"December 17, 2003","December 17, 2003",English,10484,US-ASCII,0,4,8313,83161,2003
Experiments in Government and the Essentials of the Constitution,Elihu Root,"December 17, 2003","December 17, 2003",English,10485,US-ASCII,0,4,1676,16041,2003
Audio: Twelve Gates to the City,Roger McGuinn,"December 17, 2003","December 17, 2003",English,10486,US-ASCII,0,4,483,3554,2003
Audio: Alabama Bound,Roger McGuinn,"December 17, 2003","December 17, 2003",English,10487,US-ASCII,0,4,504,3542,2003
Audio: Away in a Manger,Roger McGuinn,"December 17, 2003","December 17, 2003",English,10488,US-ASCII,0,4,457,3437,2003
An English Garner,Edited by Professor Arber and Thomas Seccombe,"December 18, 2003","December 18, 2003",English,10489,ASCII,0,4,14038,135244,2003
The Golden Legend,Henry Wadsworth Longfellow,"December 18, 2003","December 18, 2003",English,10490,ASCII,0,4,5733,31626,2003
Practice Book,Leland Powers,"December 18, 2003","December 18, 2003",English,10491,ASCII,3,4,3746,23223,2003
Henry the Second,Mrs. J. R. Green,"December 18, 2003","December 18, 2003",English,10494,US-ASCII,22,4,5971,67561,2003
Under King Constantine,Katrina Trask,"December 18, 2003","December 18, 2003",English,10495,US-ASCII,0,4,2598,17781,2003
Audio: Battle Hymn of the Republic,Roger McGuinn,"December 18, 2003","December 18, 2003",English,10497,US-ASCII,0,4,474,3511,2003
Audio: Ain' No Mo' Cane on De Brazis,Roger McGuinn,"December 19, 2003","December 19, 2003",English,10498,US-ASCII,0,4,473,3485,2003
Audio: Delia's Gone,Roger McGuinn,"December 19, 2003","December 19, 2003",English,10499,US-ASCII,0,4,468,3416,2003
Audio: Heave Away,Roger McGuinn,"December 19, 2003","December 19, 2003",English,10500,US-ASCII,0,4,523,3601,2003
Audio: The Whale Catchers,Roger McGuinn,"December 19, 2003","December 19, 2003",English,10501,US-ASCII,0,4,517,3620,2003
Audio: John Henry,Roger McGuinn,"December 19, 2003","December 19, 2003",English,10503,US-ASCII,0,4,519,3678,2003
Audio: Liverpool Gals,Roger McGuinn,"December 19, 2003","December 19, 2003",English,10504,US-ASCII,0,4,532,3808,2003
Audio: Waltzing Matilda,Roger McGuinn,"December 19, 2003","December 19, 2003",English,10505,US-ASCII,0,4,548,3775,2003
The Sorrows of a Show Girl,Kenneth McGaffey,"December 20, 2003","December 20, 2003",English,10508,US-ASCII,20,4,4665,45465,2003
The Bars of Iron,Ethel May Dell,"December 20, 2003","December 20, 2003",English,10509,US-ASCII,61,4,19801,155514,2003
Inaugural Presidential Address,William Jefferson Clinton,"June 12, 2008","June 12, 2008",English,10510,ASCII,0,4,567,4655,2008
On the Seashore,R. Cadwallader Smith,"December 22, 2003","December 22, 2003",English,10513,US-ASCII,0,4,2382,20007,2003
Rhymes of a Roughneck,Pat O'Cotter,"December 22, 2003","December 22, 2003",English,10515,US-ASCII,0,4,1900,12215,2003
Bits About Home Matters,Helen Hunt Jackson,"December 23, 2003","December 23, 2003",English,10516,ASCII,0,4,5633,57253,2003
Government and Rebellion,E. E. Adams,"December 23, 2003","December 23, 2003",English,10517,ASCII,0,4,1155,11015,2003
Poems,John Hay,"December 23, 2003","December 23, 2003",English,10518,ASCII,0,4,4741,25104,2003
Mercy Philbrick's Choice,Helen Hunt Jackson,"December 23, 2003","December 23, 2003",English,10519,ASCII,0,4,8195,82792,2003
The Compleat Cook,"Anonymous, given as ""W. M.""","December 23, 2003","December 23, 2003",English,10520,ASCII,0,4,3670,31342,2003
The Primadonna,F. Marion Crawford,"December 23, 2003","December 23, 2003",English,10521,ASCII,19,4,12147,106278,2003
"Beacon Lights of History, Volume IV",John Lord,"December 23, 2003","December 23, 2003",English,10522,US-ASCII,0,4,8351,85328,2003
Alcestis,Euripides,"December 23, 2003","December 23, 2003",English,10523,ASCII,0,4,3228,21246,2003
Audio: We Wish You a Merry Christmas,Roger McGuinn,"December 23, 2003","December 23, 2003",English,10524,US-ASCII,0,4,504,3533,2003
Audio: Michael Row the Boat Ashore,Roger McGuinn,"December 23, 2003","December 23, 2003",English,10525,US-ASCII,0,4,517,3603,2003
Audio: Nancy Whiskey,Roger McGuinn,"December 23, 2003","December 23, 2003",English,10526,US-ASCII,0,4,502,3625,2003
Audio: On the Banks of the Ohio,Roger McGuinn,"December 23, 2003","December 23, 2003",English,10527,US-ASCII,0,4,493,3573,2003
Audio: I Heard the Bells on Christmas Day,Roger McGuinn,"December 23, 2003","December 23, 2003",English,10528,US-ASCII,0,4,491,3617,2003
Audio: I am a Pilgrim,Roger McGuinn,"December 23, 2003","December 23, 2003",English,10529,US-ASCII,0,4,488,3603,2003
Audio: Ride Railroad Bill,Roger McGuinn,"December 23, 2003","December 23, 2003",English,10530,US-ASCII,0,4,488,3599,2003
"Beacon Lights of History, Volume V",John Lord,"December 24, 2003","December 24, 2003",English,10531,US-ASCII,0,4,9134,92743,2003
"Beacon Lights of History, Volume VI",John Lord,"December 24, 2003","December 24, 2003",English,10532,US-ASCII,0,4,9979,101814,2003
"Beacon Lights of History, Volume VII",John Lord,"December 25, 2003","December 25, 2003",English,10533,US-ASCII,0,4,8439,85780,2003
The Double Traitor ,E. Phillips Oppenheim,"December 25, 2003","December 25, 2003",English,10534,US-ASCII,40,4,9266,74933,2003
Jingle Bells,John Pierpont,"December 25, 2003","December 25, 2003",English,10535,"US-ASCII, MIDI, Lilypond, MP3 and TeX",0,4,458,3347,2003
The Governors,E. Phillips Oppenheim,"December 27, 2003","December 27, 2003",English,10537,US-ASCII,40,4,8588,68649,2003
In the Riding-School; Chats With Esmeralda,Theo. Stephenson Browne,"December 28, 2003","December 28, 2003",English,10539,US-ASCII,0,4,4512,42137,2003
Mother Carey's Chickens,Kate Douglas Wiggin,"December 29, 2003","December 29, 2003",English,10540,US-ASCII,0,4,8438,75918,2003
Children's Classics In Dramatic Form,Augusta Stevenson,"December 29, 2003","December 29, 2003",English,10541,US-ASCII,0,4,5891,27879,2003
"The Boats of the ""Glen Carrig""",William Hope Hodgson,"December 29, 2003","December 29, 2003",English,10542,US-ASCII,0,4,5550,63486,2003
Norwegian Life,Ethlyn T. Clough,"December 30, 2003","December 30, 2003",English,10543,ASCII,39,4,6258,60717,2003
"Punchinello, Volume 2, No. 37, December 10, 1870",Various,"December 30, 2003","December 30, 2003",English,10544,ASCII,1,4,2704,19152,2003
The Sea Lions,James Fenimore Cooper,"December 30, 2003","December 30, 2003",English,10545,ASCII,0,4,16365,172357,2003
So Runs the World,"Henryk Sienkiewicz,","December 30, 2003","December 30, 2003",English,10546,ASCII,0,4,5858,40431,2003
The Westcotes,Arthur Thomas Quiller-Couch,"December 30, 2003","December 30, 2003",English,10548,US-ASCII,24,4,4854,40068,2003
A Romance of the Republic,Lydia Maria Francis Child,"December 30, 2003","December 30, 2003",English,10549,US-ASCII,39,4,14087,129752,2003
"A Select Collection of Old English Plays, Vol. IX",Various,"December 31, 2003","December 31, 2003",English,10550,ASCII,0,4,21732,132643,2003
Affair in Araby,Talbot Mundy,"December 31, 2003","December 31, 2003",English,10551,ASCII,15,4,6232,54431,2003
Roy Blakeley,Percy Keese Fitzhugh,"December 31, 2003","December 31, 2003",English,10552,US-ASCII,33,4,5369,46745,2003
"The Life of Marie Antoinette, Queen of France",Charles Duke Yonge,"January 1, 2004","October 8, 2005",English,10555,ASCII,117,5,19009,198830,2004
The Old Man in the Corner,Baroness Orczy,"January 1, 2004","January 1, 2004",English,10556,ASCII,36,4,8365,73243,2004
Johnny Crow's Party,L. Leslie Brooke,"January 1, 2004","January 1, 2004",English,10557,ASCII,0,4,597,3604,2004
The Last of the Foresters,John Esten Cooke,"January 2, 2004","January 2, 2004",English,10560,ASCII,70,4,16817,107956,2004
Fine Feathers,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10561,ASCII,0,4,947,7115,2004
Friends In Need,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10562,ASCII,0,4,969,7150,2004
Good Intentions,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10563,ASCII,0,4,904,7450,2004
Fairy Gold,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10564,ASCII,0,4,928,7173,2004
Watch-Dogs,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10565,ASCII,0,4,878,7070,2004
The Bequest,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10566,ASCII,0,4,913,6849,2004
The Guardian Angel,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10567,ASCII,0,4,924,7479,2004
Dual Control,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10568,ASCII,0,4,922,6782,2004
Skilled Assistance,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10569,ASCII,0,4,888,7081,2004
For Better or Worse,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10570,ASCII,0,4,945,6825,2004
The Old Man of the Sea,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10571,ASCII,0,4,953,7298,2004
Manners Makyth Man,W.W. Jacobs,"January 1, 2004","January 1, 2004",English,10572,ASCII,0,4,864,7090,2004
"Ship's Company, The Entire Collection",W.W. Jacobs,"October 29, 2006","October 29, 2006",English,10573,ASCII,0,4,6328,49570,2006
"The History of England, Volume I",David Hume,"January 2, 2004","January 2, 2004",English,10574,US-ASCII,24,4,22874,237522,2004
The Profiteers ,E. Phillips Oppenheim,"January 2, 2004","January 2, 2004",English,10575,US-ASCII,24,4,7864,58262,2004
The Aeroplane Boys Flight,John Luther Langworthy,"January 2, 2004","January 2, 2004",English,10576,ASCII,23,4,6130,53070,2004
A Hidden Life and Other Poems,George MacDonald,"January 2, 2004","January 2, 2004",English,10578,ASCII,0,4,10592,60408,2004
Joe Strong The Boy Fire-Eater,Vance Barnum,"January 2, 2004","January 2, 2004",English,10579,ASCII,25,4,6055,49085,2004
The Positive School of Criminology,Enrico Ferri,"January 2, 2004","January 2, 2004",English,10580,ASCII,0,4,2663,27300,2004
Uncle Bernac,Arthur Conan Doyle,"January 2, 2004","January 6, 2006",English,10581,ASCII,17,4,6797,60867,2004
For Luncheon and Supper Guests,Alice Bradley,"January 2, 2004","January 2, 2004",English,10582,ASCII,0,4,3212,16153,2004
Holland,Thomas Colley Grattan,"January 3, 2004","January 3, 2004",English,10583,ASCII,49,4,14073,133140,2004
Air Service Boys Over the Atlantic ,Charles Amory Beach,"January 3, 2004","January 3, 2004",English,10584,US-ASCII,26,4,5826,48593,2004
My Strangest Case,Guy Boothby,"January 4, 2004","January 4, 2004",English,10585,ASCII,11,4,7726,74233,2004
Mike and Psmith,P. G. Wodehouse,"January 4, 2004","December 10, 2005",English,10586,ASCII,1,4,7979,57433,2004
The Poetical Works of Addison; Gay's Fables; and Somerville's Chase,Anonmous,"January 4, 2004","January 4, 2004",English,10587,ASCII,0,4,15709,101133,2004
"Seeing Europe with Famous Authors, Volume I.",Various,"January 4, 2004","January 4, 2004",English,10588,ASCII,0,4,5636,56337,2004
Turkish Prisoners in Egypt,Various,"January 4, 2004","January 4, 2004",English,10589,ASCII,0,4,2356,17087,2004
Lady Mary Wortley Montague,Lewis Melville,"January 4, 2004","January 4, 2004",English,10590,ASCII,34,4,10774,109690,2004
A Lie Never Justifiable,H. Clay Trumbull,"January 4, 2004","January 4, 2004",English,10591,US-ASCII,0,4,5438,47526,2004
Adventures In Friendship,David Grayson,"January 4, 2004","January 4, 2004",English,10592,ASCII,0,4,4347,38079,2004
"Punch, or the London Charivari, Vol. 153, Sept. 12, 1917",Various,"January 4, 2004","January 4, 2004",English,10594,US-ASCII,0,4,2029,14716,2004
"Punch, or the London Charivari, Vol. 153, Sept. 19, 1917",Various,"January 4, 2004","January 4, 2004",English,10595,US-ASCII,0,4,2106,15024,2004
Cap and Gown,Selected by Frederic Knowles,"January 4, 2004","January 4, 2004",English,10596,ASCII,0,4,7779,34565,2004
Four Early Pamphlets,William Godwin,"January 5, 2004","January 5, 2004",English,10597,ASCII,0,4,5429,48552,2004
The Lives of the Poets of Great Britain and Ireland (1753),Theophilus Cibber,"January 5, 2004","January 5, 2004",English,10598,ASCII,0,4,11798,106036,2004
Lost In The Air,Roy J. Snell,"January 5, 2004","January 5, 2004",English,10599,ASCII,18,4,5652,46552,2004
"A General History and Collection of Voyages and Travels, Vol. 1",Robert Kerr,"January 4, 2004","January 4, 2004",English,10600,ASCII,0,4,21513,224351,2004
The Rangeland Avenger,Max Brand,"January 5, 2004","January 5, 2004",English,10601,ASCII,0,4,10354,80202,2004
With Kelly to Chitral,William George Laurence Beynon,"January 5, 2004","January 5, 2004",English,10603,ASCII,20,4,3375,33757,2004
Adventures In Contentment,David Grayson,"January 5, 2004","January 5, 2004",English,10605,ASCII,0,4,5506,49002,2004
"The Tragedie of Hamlet, Prince of Denmark",George MacDonald,"January 5, 2004","January 5, 2004",English,10606,ASCII,0,4,13721,87792,2004
The Real Mother Goose,(Illustrated by Blanche Fisher Wright),"January 5, 2004","January 5, 2004",English,10607,ASCII,0,4,4604,19285,2004
"The Turquoise Cup, and, The Desert",Arthur Cosslett Smith,"January 5, 2004","January 5, 2004",English,10608,US-ASCII,0,4,3933,30515,2004
English Literature,William J. Long,"January 6, 2004","January 6, 2004",English,10609,ASCII,22,4,22577,214781,2004
"Letters and Journals of James, Eighth Earl of Elgin","James, Eighth Earl of Elgin","January 6, 2004","January 6, 2004",English,10610,ASCII,32,4,18751,186010,2004
"An Essay on the Slavery and Commerce of the Human Species, Particularly the African",Thomas Clarkson,"January 6, 2004","January 6, 2004",English,10611,ASCII,0,4,6353,56395,2004
Supply and Demand,Hubert D. Henderson,"January 6, 2004","January 6, 2004",English,10612,ASCII,20,4,5758,54837,2004
The Theory of Social Revolutions,Brooks Adams,"January 6, 2004","January 6, 2004",English,10613,ASCII,6,4,4743,47413,2004
"Punch, or the London Charivari, Vol. 153, Sept. 5, 1917",Various,"January 6, 2004","January 6, 2004",English,10614,US-ASCII,0,4,2166,15713,2004
"An Essay Concerning Humane Understanding, Volume II.",John Locke,"January 6, 2004","January 6, 2004",English,10616,ASCII,32,4,12747,127910,2004
Within the Deep,R. Cadwallader Smith,"January 6, 2004","January 6, 2004",English,10617,ASCII,0,4,2007,17657,2004
Jesus Says So,Unknown,"January 22, 2004","January 22, 2004",English,10618,ASCII,0,4,727,5842,2004
An Englishman's Travels in America,John Benwell,"January 6, 2004","January 6, 2004",English,10619,ASCII,7,4,5361,55906,2004
The Works of Francis Beaumont and John Fletcher in Ten Volumes,Beaumont and Fletcher,"January 7, 2004","January 7, 2004",English,10620,ASCII,0,4,3182,22534,2004
Birthright,T.S. Stribling,"January 7, 2004","January 7, 2004",English,10621,ASCII,19,4,9065,73867,2004
The Lives of the Poets of Great Britain and Ireland (1753),Theophilus Cibber,"January 7, 2004","January 7, 2004",English,10622,ASCII,0,4,10964,101181,2004
Plays,Susan Glaspell,"January 7, 2004","January 7, 2004",English,10623,ASCII,0,4,8609,60442,2004
"Atlantic Monthly, Volume 2, Issue 10, August, 1858",Various,"January 7, 2004","June 12, 2005",English,10626,US-ASCII,5,4,9306,84783,2004
"Beacon Lights of History, Volume VIII",John Lord,"January 8, 2004","January 8, 2004",English,10627,US-ASCII,0,4,8586,86798,2004
Andrew Golding,Annie E. Keeling,"January 8, 2004","January 8, 2004",English,10628,ASCII,12,4,4082,40442,2004
Britain at Bay,Spenser Wilkinson,"January 8, 2004","January 8, 2004",English,10629,ASCII,1,4,4827,45629,2004
Coming to the King,Frances Ridley Havergal,"January 8, 2004","January 8, 2004",English,10630,ASCII,0,4,924,5014,2004
Halleck's New English Literature,Reuben P. Halleck,"January 8, 2004","January 8, 2004",English,10631,ASCII,21,4,23679,171079,2004
"The Healthy Life Cook Book, 2d ed.",Florence Daniel,"January 8, 2004","January 8, 2004",English,10632,ASCII,0,4,4150,27044,2004
"The History of the Rise, Progress and Accomplishment of the",Thomas Clarkson,"May 16, 2007","May 16, 2007",English,10633,ASCII,66,4,23347,241502,2007
"Stories from the Italian Poets: With Lives of the Writers, Vol. 2",Leigh Hunt,"January 8, 2004","January 8, 2004",English,10635,ASCII,0,4,11541,109260,2004
The Uprising of a Great People,Count Agenor de Gasparin,"January 8, 2004","January 8, 2004",English,10637,ASCII,10,4,6454,65551,2004
The Youthful Wanderer,George H. Heffner,"January 8, 2004","January 8, 2004",English,10638,ASCII,0,4,6935,65407,2004
Phrases for Public Speakers and Paragraphs for Study,Compiled by Grenville Kleiser,"January 8, 2004","January 8, 2004",English,10639,ASCII,0,4,2293,16936,2004
"Beacon Lights of History, Volume IX",John Lord,"January 8, 2004","January 8, 2004",English,10640,US-ASCII,0,4,7881,78086,2004
"Beacon Lights of History, Volume X",John Lord,"January 8, 2004","January 8, 2004",English,10641,US-ASCII,0,4,8082,80072,2004
Towards the Great Peace,Ralph Adams Cram,"January 8, 2004","January 8, 2004",English,10642,ASCII,0,4,7031,72230,2004
The Worlds Greatest Books,"Arthur Mee, J. A. Hammerton, Eds.","January 8, 2004","January 8, 2004",English,10643,ASCII,0,4,13159,113694,2004
"Beacon Lights of History, Volume XI",John Lord,"January 8, 2004","January 8, 2004",English,10644,US-ASCII,2,4,7924,78218,2004
Audio: Go Tell Aunt Rhodie,Roger McGuinn,"January 8, 2004","January 8, 2004",English,10645,US-ASCII,0,4,487,3535,2004
Audio: Roddy McCorley,Roger McGuinn,"January 8, 2004","January 8, 2004",English,10646,US-ASCII,0,4,497,3779,2004
